Type,SKU,Name,Published,Featured,Catalog visibility,Price,Regular price,Sale price,Images,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s),Attribute 10 name,Attribute 10 value(s),Attribute 11 name,Attribute 11 value(s),Attribute 12 name,Attribute 12 value(s),Attribute 13 name,Attribute 13 value(s),Attribute 14 name,Attribute 14 value(s),Attribute 15 name,Attribute 15 value(s),Attribute 16 name,Attribute 16 value(s),Attribute 17 name,Attribute 17 value(s),Attribute 18 name,Attribute 18 value(s),Attribute 19 name,Attribute 19 value(s),Attribute 20 name,Attribute 20 value(s),Attribute 21 name,Attribute 21 value(s),Attribute 22 name,Attribute 22 value(s),Attribute 23 name,Attribute 23 value(s),Attribute 24 name,Attribute 24 value(s),Attribute 25 name,Attribute 25 value(s),Attribute 26 name,Attribute 26 value(s),Attribute 27 name,Attribute 27 value(s),Attribute 28 name,Attribute 28 value(s),Attribute 29 name,Attribute 29 value(s),Attribute 30 name,Attribute 30 value(s),Attribute 31 name,Attribute 31 value(s),Attribute 32 name,Attribute 32 value(s),Attribute 33 name,Attribute 33 value(s),Attribute 34 name,Attribute 34 value(s),Attribute 35 name,Attribute 35 value(s),Attribute 36 name,Attribute 36 value(s)
simple,65DU7000,TV SAMSUNG 65P LED UHD (4k) 65DU7000,1,0,visible,,7199,,"https://electroclub.ma/12377-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12376-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12378-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12379-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12380-large_default/smart-tv-led-43p-uhd-samsung.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,65DU7000,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,65 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840x2160,Direct wi-fi,Oui,Entree hdmi,3,Entree usb,1,Entree rca,Oui,Interface ci,Oui,Bluetooth,Oui,Système d&#039;exploitation,Tizen™,Classe énergétique,G,Connectivite,Oui,Technologie,Crystal 4K,Fluidité de l&#039;image ( Hz ),50,Turner,OUI,Entrée optique RJ45,OUI,Wifi integrée,Oui,Fonction enregistreur PVR,OUI,Vidéo,HDR|HDR 10+|HLG|Mega Contrast|PurColor,Dimension avec pied ( cm ),144.4 x 89.7 x 30.1,Dimension sans pied ( cm ),144.9 x 83 x 6,Processeur,Crystal prcessor 4K,Poids (KG),20.8,,,,,,,,,,,,,,,,
simple,65B46LA,TV LG 65P OLED  UHD (4K) 65B46LA,1,0,visible,,16499,,"https://electroclub.ma/12801-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12805-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12804-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12802-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12803-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,65B46LA,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,65 Pouces,Type du rectroeclairage,OLED,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,4,Entree usb,3,Entree prise peritel,Non,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1450.9 X 869.6 X 281.8 MM (LXHXP),Dimension sans pied,1450.9 x 831.4 x 25.7 mm,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),100,Entrée optique RJ45,OUI,Wifi integrée,Oui,Poids (KG),24.7,Contraste élevé,OUI,Inverser les couleurs,Oui,Réglage acoustique de l&#039;IA,OUI,Compatible G-Sync (Nvidia),OUI,Image IA,Image AI Pro,Compatible FreeSync (AMD) Oui,OUI,,
simple,55S90DA,TV SAMSUNG 55P OLED UHD (4k) 55S90DA,1,0,visible,,11799,,"https://electroclub.ma/13059-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13058-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13060-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13061-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,55S90DA,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,55 Pouces,Type du rectroeclairage,OLED,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,4,Entree usb,2,Entree rca,NON,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1225 X 762 X 191 LXHXP (MM),Dimension sans pied,1225 X 719 X 48.9 LXHXP (MM),Connectivite,Oui,Wifi integrée,Oui,Poids (KG),21.9,Contraste élevé,OUI,Compatible G-Sync (Nvidia),OUI,Image IA,Image AI Pro,Compatible FreeSync (AMD) Oui,OUI,,,,,,,,,,,,,,
simple,75UR78006LL,TV LG 75P LED UHD (4k) 75UR78006LL,1,0,visible,,8999,,"https://electroclub.ma/14196-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/11057-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/11058-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/11059-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/11060-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,75UR78006LL,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,75 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,Oui,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree prise peritel,Non,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1027 X 1678 X 361 MM (HXLXP),Dimension sans pied,1673.2 x 958.2 x 59.9 mm,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),50,Entrée optique RJ45,OUI,Wifi integrée,Oui,Poids (KG),21.7,,,,,,,,,,,,,,
simple,43P735,SMART  LED 43P UHD GOOGLE TV 43P735,1,0,visible,,3199,,"https://electroclub.ma/11366-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/11360-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/11356-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/11358-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/11357-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,TCL,Reference fournisseur,43P735,Garantie,1 An,Marque,TCL,Type d&#039;ecran,LED,Smart tv,Oui,Taille d&#039;écran,43 Pouces,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,1920 x 1080,Entree hdmi,3,Entree usb,1,Coloris,Noir,Système d&#039;exploitation,GoogleTV,Hauteur (cm),61 cm,Largeur (cm),97 cm,Profondeur (cm),7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,60DU7000,TV SAMSUNG 60P LED UHD (4k) 60DU7000,1,0,visible,,6399,,"https://electroclub.ma/12384-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12368-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12370-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12371-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12372-large_default/smart-tv-led-43p-uhd-samsung.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,60DU7000,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,60 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840x2160,Direct wi-fi,Oui,Entree hdmi,3,Entree usb,1,Entree rca,Oui,Interface ci,Oui,Bluetooth,Oui,Dimension avec pied,1355.0 x 824.4 x 267.4 mm,Dimension sans pied,1353 X 776.8 X 25.7 MM (LXHXP),Système d&#039;exploitation,Tizen™,Classe énergétique,G,Connectivite,Oui,Technologie,Crystal 4K,Fluidité de l&#039;image ( Hz ),50,Turner,OUI,Entrée optique RJ45,OUI,Wifi integrée,Oui,Fonction enregistreur PVR,OUI,Vidéo,HDR|HDR 10+|HLG|Mega Contrast|PurColor,Processeur,Crystal prcessor 4K,Poids (KG),14,,,,,,,,,,,,,,,,
simple,H55K800UX,SMART TV LED 55P UHD H55K800UX,1,0,visible,,4499,,"https://electroclub.ma/12453-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12451-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12449-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,Haier,Reference fournisseur,H55K800UX,Mémoire ram,2G,Garantie,2 Ans,Marque,Haier,Type d&#039;ecran,LED,Smart tv,Oui,Taille d&#039;écran,50 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite de l&#039;image,60,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,4,Entree usb,2,Entree rca,NON,Bluetooth,Oui,Coloris,Noir,Dimension avec pied,129 x 82.4 x 25cm,Dimension sans pied,1230.5 x 707.2 x 59.9 mm,Technologie éclairage,LED directe,Mémoire de stockage,8G,Connectivite,Oui,Wifi integrée,Oui,Récepteur intégré,OUI,TNT,OUI,Dolby audio,OUI,Android 11,OUI,Smart Remote Control,Oui,Google Assistant,OUI,Category,GoogleTV,,,,,,,,
simple,75UT80006LA,TV LG 75P LED UHD (4K) 75UT80006LA,1,0,visible,,10199,,"https://electroclub.ma/12492-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12485-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12484-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12486-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12487-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,75UT80006LA,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,75 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,Oui,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree prise peritel,Non,Entree rca,Oui,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1673.2 x 1047.9 x 341.1 mm,Dimension sans pied,1673.2 x 958.2 x 59.9 mm,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),60,Entrée optique RJ45,OUI,Wifi integrée,Oui,HDR,HDR10|HLG,,,,,,,,,,,,,,
simple,86UT80006LA,TV LG 86P LED UHD (4K) 86UT80006LA,1,0,visible,,15999,,"https://electroclub.ma/12502-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12494-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12493-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12495-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12496-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,86UT80006LA,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,86,Type du rectroeclairage,Direct LED,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,Oui,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,4,Entree usb,2,Entree prise peritel,Non,Entree rca,Oui,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,192|5 X 116|5 X 35|9,Dimension sans pied,192|5 X 110|5 X 0|46,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),60,Entrée optique RJ45,OUI,Wifi integrée,Oui,HDR,HDR10|HLG,,,,,,,,,,,,,,
simple,98P745,SMART LED 98P UHD GOOGLE TV GAME MASTER PRO 98P745,1,0,visible,,29999,,"https://electroclub.ma/12576-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12575-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12577-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12578-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12579-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,TCL,Reference fournisseur,98P745,Garantie,1 An,Marque,TCL,Type d&#039;ecran,LED,Smart tv,Oui,Taille d&#039;écran,98,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840 x 2160,Fluidite de l&#039;image,144 HZ,Entree hdmi,4,Entree usb,2,Coloris,Noir,Dimension avec pied,2179*1289*420,Dimension sans pied,2179*1248*71,Système d&#039;exploitation,GoogleTV,Dolby audio,OUI,HDR,HDR10|HLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,85P745,SMART LED 85P UHD GOOGLE TV 85P745,1,0,visible,,14799,,"https://electroclub.ma/12587-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12581-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12583-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12584-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12585-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,TCL,Reference fournisseur,98P745,Garantie,1 An,Marque,TCL,Type d&#039;ecran,LED,Smart tv,Oui,Taille d&#039;écran,85,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840 x 2160,Fluidite de l&#039;image,120,Entree hdmi,4,Entree usb,2,Coloris,Noir,Dimension avec pied,1887 x 1122 x 418 mm,Dimension sans pied,1887 x 1084 x 17-39 mm,Système d&#039;exploitation,GoogleTV,Dolby audio,OUI,HDR,HDR10|HLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,50P755,SMART  LED 50P UHD GOOGLE TV 50P755,1,0,visible,,3999,,"https://electroclub.ma/12660-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12659-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12661-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12662-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12663-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,TCL,Reference fournisseur,50P755,Garantie,1 An,Marque,TCL,Type d&#039;ecran,LED,Smart tv,Oui,Taille d&#039;écran,50 Pouces,Type du rectroeclairage,Direct LED,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840 x 2160,Entree hdmi,3,Entree usb,1,Coloris,Noir,Système d&#039;exploitation,GoogleTV,Hauteur (cm),68 cm,Largeur (cm),112 cm,Profondeur (cm),7,Fluidité de l&#039;image ( Hz ),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,55B46LA,TV LG 55P OLED  UHD (4K) 55B46LA,1,0,visible,,9999,,"https://electroclub.ma/12811-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12810-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12807-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12808-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12809-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,55B46LA,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,55 Pouces,Type du rectroeclairage,OLED,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,4,Entree usb,3,Entree prise peritel,Non,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1230.5 x 783.3 x 250.2 mm,Dimension sans pied,1230.5 x 707.2 x 59.9 mm,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),100,Entrée optique RJ45,OUI,Wifi integrée,Oui,Poids (KG),24.7,Contraste élevé,OUI,Inverser les couleurs,Oui,Réglage acoustique de l&#039;IA,OUI,Compatible G-Sync (Nvidia),OUI,Image IA,Image AI Pro,Compatible FreeSync (AMD) Oui,OUI,,
simple,65P755,SMART  LED 65P UHD GOOGLE TV 65P755,1,0,visible,,5999,,"https://electroclub.ma/12951-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12950-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12952-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12953-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/12954-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,TCL,Reference fournisseur,65P755,Garantie,1 An,Marque,TCL,Type d&#039;ecran,LED,Smart tv,Oui,Taille d&#039;écran,65 Pouces,Type du rectroeclairage,Direct LED,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840 x 2160,Entree hdmi,2,Entree usb,3,Coloris,Noir,Système d&#039;exploitation,GoogleTV,Hauteur (cm),83,Largeur (cm),144 cm,Profondeur (cm),7,Fluidité de l&#039;image ( Hz ),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,65S90DA,TV SAMSUNG 65P OLED UHD (4k) 65S90DA,1,0,visible,,20999,,"https://electroclub.ma/13066-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13062-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13063-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13064-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,65S90DA,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,65 Pouces,Type du rectroeclairage,OLED,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,4,Entree usb,2,Entree rca,NON,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1450.9 X 869.6 X 281.8 MM (LXHXP),Dimension sans pied,1450.9 x 831.4 x 25.7 mm,Connectivite,Oui,Wifi integrée,Oui,Poids (KG),28.1,Contraste élevé,OUI,Compatible G-Sync (Nvidia),OUI,Image IA,Image AI Pro,Compatible FreeSync (AMD) Oui,OUI,,,,,,,,,,,,,,
simple,43UT73006LA,TV LG 43P LED UHD (4K) 43UT73006LA,1,0,visible,,3799,,"https://electroclub.ma/13269-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13270-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13272-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13275-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13271-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,43UT73,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,43 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,OUI,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Système d&#039;exploitation,WebOS 24|ThinQ AI,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),60,Entrée optique RJ45,OUI,Wifi integrée,Oui,Dimension avec pied ( cm ),97.3 x 62.3 x 21.6,Dimension sans pied ( cm ),96.4 x 55.9 x 6,Poids (KG),9,,,,,,,,,,,,,,
simple,50UT73006LA,TV LG 50P LED UHD (4K) 50UT73006LA,1,0,visible,,4299,,"https://electroclub.ma/13289-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13280-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13282-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13285-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13281-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,50UT73,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,50 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,OUI,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Système d&#039;exploitation,WebOS 24|ThinQ AI,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),60,Entrée optique RJ45,OUI,Wifi integrée,Oui,Dimension avec pied ( cm ),111.7 x 71.9 x 25,Dimension sans pied ( cm ),111.7 x 64.4 x 6,Poids (KG),9,,,,,,,,,,,,,,
simple,55UT73006LA,TV LG 55P LED UHD (4K) 55UT73006LA,1,0,visible,,4799,,"https://electroclub.ma/13300-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13290-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13292-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13295-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13291-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,55UT73,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,55 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,OUI,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Système d&#039;exploitation,WebOS 24|ThinQ AI,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),60,Entrée optique RJ45,OUI,Wifi integrée,Oui,Dimension avec pied ( cm ),123.1 x 78.3 x 25,Dimension sans pied ( cm ),123.1 x 70.7 x 6,Poids (KG),9,,,,,,,,,,,,,,
simple,65UT73006LA,TV LG 65P LED UHD (4K) 65UT73006LA,1,0,visible,,6999,,"https://electroclub.ma/13311-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13301-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13303-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13306-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13302-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,LG,Reference fournisseur,65UT73,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,55 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840×2160,Fluidite constructeur,NON,Tuner,OUI,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Système d&#039;exploitation,WebOS 24|ThinQ AI,Connectivite,Oui,Fluidité de l&#039;image ( Hz ),60,Entrée optique RJ45,OUI,Wifi integrée,Oui,Dimension avec pied ( cm ),145.1 x 87.4 x 28.9,Dimension sans pied ( cm ),145.1 x 83.9 x 2.6,Poids (KG),9,,,,,,,,,,,,,,
simple,85DU8000,TV SAMSUNG 85P LED UHD  (4k) 85DU8000,1,0,visible,,16399,,"https://electroclub.ma/13372-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/13343-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/13344-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/13345-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/13346-large_default/smart-tv-led-55p-uhd-samsung.jpg",Not found,,Marque,Samsung,Reference fournisseur,85DU8000,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,85,Type du rectroeclairage,Led,Norme hd,Uhd (4k),Resolution de l&#039;affichage,3840×2160,Fluidite de l&#039;image,100,Fluidite constructeur,NON,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree prise peritel,Non,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Entree optique,Oui,Wifi integre,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1900.9 x 1129.1 x 396.6 mm,Dimension sans pied,1900.9 x 1086.1 x 26.9 mm,,,,,,,,,,,,,,,,,,
